["16mm", "16mm"]
["35mm", "35mm"]
["3D Studio Max", "3D Studio Max"]
["550D", "550D"]
["550d", "550D"]
["5D", "5D"]
["5D MK 2", "5D MK 2"]
["5D MK II", "5D MK 2"]
["5D MK III", "5D MK 2"]
["5D MK3 RAW", "5D MK 2"]
["5D Mark 2", "5D MK 2"]
["5D Mark II", "5D Mark II"]
["5D mark 2", "5D Mark II"]
["5DMKII", "5D Mark II"]
["5DMkIII", "5D Mark II"]
["5DMkii", "5D Mark II"]
["5Dmk3 RAW", "5Dmk3 RAW"]
["5Dmkii", "5Dmkii"]
["5d Mark iii", "5Dmkii"]
["5d Mkiii", "5Dmkii"]
["5d mark 3", "5d mark 3"]
["5d mark iii", "5d mark 3"]
["5d mk III", "5d mk III"]
["5d mk3", "5d mk III"]
["5dmK2", "5d mk III"]
["5dmk2", "5d mk III"]
["5dmk3", "5d mk III"]
["5dmkii", "5d mk III"]
["5dmkiii", "5d mk III"]
["5mkiii", "5d mk III"]
["600D", "600D"]
["60D", "600D"]
["6D", "6D"]
["6d", "6D"]
["70", "70"]
["70D", "70"]
["7D", "7D"]
["7d", "7D"]
["AATON 35mm", "AATON 35mm"]
["AE5", "AE5"]
["AX100", "AX100"]
["Aaton 35mm", "Aaton 35mm"]
["Alexa", "Alexa"]
["Arri 3", "Arri 3"]
["Arri Alexa", "Arri Alexa"]
["Arriflex Cameras", "Arri Alexa"]
["Ax100", "Ax100"]
["BMPCC", "BMPCC"]
["Bausch and Lomb", "Bausch and Lomb"]
["Black Magic 4K", "Black Magic 4K"]
["Black Magic Cinema Camera", "Black Magic 4K"]
["BlackMagic", "Black Magic 4K"]
["Blackmagic Cinema Camera", "Black Magic 4K"]
["Blackmagic Pocket Cinema Camera", "Black Magic 4K"]
["Blackmagic Production Camera", "Blackmagic Production Camera"]
["Blackmagic Production Camera 4K", "Blackmagic Production Camera"]
["Bolex", "Bolex"]
["C300", "C300"]
["CANON 1D c", "CANON 1D c"]
["CANON 5", "CANON 1D c"]
["CANON 5 DMK 2", "CANON 1D c"]
["CANON 5 DMK2", "CANON 1D c"]
["CANON 5D  MK2", "CANON 1D c"]
["CANON 5D MK2", "CANON 1D c"]
["CANON 5D Mark III ML RAW", "CANON 5D Mark III ML RAW"]
["CANON 7D RAW", "CANON 7D RAW"]
["CANON EOS 650D", "CANON EOS 650D"]
["CANON EOS 7D", "CANON EOS 650D"]
["CANON EOS DSLR", "CANON EOS 650D"]
["Camera EOS 7D", "Camera EOS 7D"]
["Cannon 5D Mark III", "Cannon 5D Mark III"]
["Cannon 7d", "Cannon 5D Mark III"]
["Canon", "Canon"]
["Canon 1000D", "Canon"]
["Canon 1D Mark IV", "Canon"]
["Canon 1DC", "Canon"]
["Canon 1DX", "Canon"]
["Canon 1d X", "Canon"]
["Canon 1d c", "Canon"]
["Canon 1d x", "Canon"]
["Canon 1dx", "Canon"]
["Canon 350d", "Canon"]
["Canon 40d", "Canon"]
["Canon 5.1K DSLR", "Canon"]
["Canon 5.2K DSLR", "Canon"]
["Canon 500D", "Canon"]
["Canon 550D", "Canon"]
["Canon 5D", "Canon"]
["Canon 5D MK II", "Canon"]
["Canon 5D MK II (RAW)", "Canon"]
["Canon 5D MK2", "Canon"]
["Canon 5D Mar III with Magic Lanter Raw", "Canon 5D Mar III with Magic Lanter Raw"]
["Canon 5D Mark 2", "Canon 5D Mark 2"]
["Canon 5D Mark 3", "Canon 5D Mark 2"]
["Canon 5D Mark II", "Canon 5D Mark 2"]
["Canon 5D Mark III", "Canon 5D Mark 2"]
["Canon 5D Mark III with Magic Lantern", "Canon 5D Mark 2"]
["Canon 5D Mk III", "Canon 5D Mark 2"]
["Canon 5D MkII", "Canon 5D Mark 2"]
["Canon 5D MkIII", "Canon 5D Mark 2"]
["Canon 5D mark 2", "Canon 5D Mark 2"]
["Canon 5D mark II", "Canon 5D Mark 2"]
["Canon 5D mark iii", "Canon 5D Mark 2"]
["Canon 5D mk II Tamron 24-70 f/2.8", "Canon 5D Mark 2"]
["Canon 5D mkIII", "Canon 5D Mark 2"]
["Canon 5D2", "Canon 5D Mark 2"]
["Canon 5D3", "Canon 5D Mark 2"]
["Canon 5DII", "Canon 5D Mark 2"]
["Canon 5DMK2", "Canon 5D Mark 2"]
["Canon 5DMK3", "Canon 5D Mark 2"]
["Canon 5DMKII", "Canon 5D Mark 2"]
["Canon 5Dmk3 RAW", "Canon 5D Mark 2"]
["Canon 5DmkIII", "Canon 5D Mark 2"]
["Canon 5d MK II", "Canon 5D Mark 2"]
["Canon 5d MK3", "Canon 5D Mark 2"]
["Canon 5d MKII", "Canon 5D Mark 2"]
["Canon 5d Mark 2", "Canon 5D Mark 2"]
["Canon 5d Mark II", "Canon 5D Mark 2"]
["Canon 5d mk ii", "Canon 5D Mark 2"]
["Canon 5dMKII", "Canon 5D Mark 2"]
["Canon 5dmkIII", "Canon 5D Mark 2"]
["Canon 600D", "Canon 600D"]
["Canon 60D", "Canon 600D"]
["Canon 60d", "Canon 600D"]
["Canon 650D", "Canon 600D"]
["Canon 6D", "Canon 600D"]
["Canon 6d", "Canon 600D"]
["Canon 70D", "Canon 600D"]
["Canon 7D", "Canon 600D"]
["Canon 7D Tamron 28-75", "Canon 7D Tamron 28-75"]
["Canon 7d", "Canon 7D Tamron 28-75"]
["Canon C-100", "Canon C-100"]
["Canon C100", "Canon C-100"]
["Canon C100 ( Ninja Blade - ProRes422)", "Canon C100 ( Ninja Blade - ProRes422)"]
["Canon C100 (Atomos Ninja Star ProRes422)", "Canon C100 ( Ninja Blade - ProRes422)"]
["Canon C100 (Atomos Ninja2 DNxHD220x)", "Canon C100 (Atomos Ninja2 DNxHD220x)"]
["Canon C100 (AtomosNinja2 ProRes422)", "Canon C100 (Atomos Ninja2 DNxHD220x)"]
["Canon C300", "Canon C300"]
["Canon D70", "Canon C300"]
["Canon DSLR", "Canon DSLR"]
["Canon EOS 5", "Canon DSLR"]
["Canon EOS 500D", "Canon EOS 500D"]
["Canon EOS 550D", "Canon EOS 500D"]
["Canon EOS 5D", "Canon EOS 500D"]
["Canon EOS 5D Mark II", "Canon EOS 500D"]
["Canon EOS 5D Mark III", "Canon EOS 500D"]
["Canon EOS 6", "Canon EOS 500D"]
["Canon EOS 600D (HDR RAW stills)", "Canon EOS 500D"]
["Canon EOS 600D (RAW stills)", "Canon EOS 500D"]
["Canon EOS 60D", "Canon EOS 500D"]
["Canon EOS 650D", "Canon EOS 500D"]
